ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Faces_128_h,Faces,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_128_h.jpg,2.922
Objects_285_h,Objects,Negative,6,3,emo1,within SF?,1,Old,A,Stimuli/Objects_285_h.jpg,2.922
Faces_343_h,Faces,Neutral,2,1,neu1,within SF?,2,Old,A,Stimuli/Faces_343_h.jpg,2.679
Animals_124_v,Animals,Neutral,4,2,neu2,professional photo?,2,Old,A,Stimuli/Animals_124_v.jpg,0.559
Objects_088_h,Objects,Negative,2,4,emo2,professional photo?,2,Old,A,Stimuli/Objects_088_h.jpg,3.745
Objects_211_h,Objects,Neutral,1,1,neu1,within SF?,1,Old,A,Stimuli/Objects_211_h.jpg,3.961
Faces_302_h,Faces,Negative,6,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_302_h.jpg,5.089
Objects_123_h,Objects,Negative,4,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_123_h.jpg,2.922
Objects_315_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_315_h.jpg,0.5
Objects_003_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_003_h.jpg,0.5
Faces_158_h,Faces,Negative,3,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_158_h.jpg,0.977
Faces_176_h,Faces,Negative,2,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_176_h.jpg,3.961
Faces_290_h,Faces,Negative,5,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_290_h.jpg,1.234
Objects_271_h,Objects,Neutral,6,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_271_h.jpg,1.496
Animals_204_h,Animals,Neutral,4,1,neu1,within SF?,1,Old,A,Stimuli/Animals_204_h.jpg,1.755
Faces_003_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_003_h.jpg,0.5
Animals_094_h,Animals,Neutral,4,2,neu2,professional photo?,2,Old,A,Stimuli/Animals_094_h.jpg,0.51
Faces_049_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_049_h.jpg,0.5
Faces_186_h,Faces,Neutral,6,1,neu1,within SF?,1,Old,A,Stimuli/Faces_186_h.jpg,3.961
Objects_111_h,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_111_h.jpg,0.5
Objects_214_h,Objects,Neutral,3,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_214_h.jpg,1.496
Objects_095_h,Objects,Neutral,3,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_095_h.jpg,0.51
Animals_071_h,Animals,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Animals_071_h.jpg,0.5
